Year,GMSL_noGIA,uncertainty
1993,-34.605405405405406,4.156152463914586
1994,-30.95108108108108,4.6589196314308845
1995,-28.645945945945947,4.895149787436687
1996,-26.59638888888889,4.777280250027372
1997,-22.68243243243243,7.079351196498404
1998,-25.06054054054054,2.616782317981321
1999,-21.81243243243243,4.980557981572731
2000,-18.425405405405407,5.480055045645373
2001,-13.219189189189189,4.805982601796304
2002,-9.372777777777777,5.7236115527129545
2003,-6.318108108108109,4.074503949247371
2004,-4.425135135135135,5.045201582594001
2005,-0.030810810810810753,3.932728328031584
2006,1.0916666666666666,4.932494298020019
2007,1.4878378378378379,3.4175999823910987
2008,3.5491666666666664,4.712032242795337
2009,8.411351351351351,5.9100804479212385
2010,9.391351351351352,2.3033950331366695
2011,8.42972972972973,5.948594365471975
2012,19.255675675675676,6.0248151380309976
2013,21.304054054054053,3.691557529959001
2014,24.850833333333334,4.901547496163112
2015,35.42135135135135,6.944107078892375
2016,37.55972972972973,3.3977660033930825
2017,38.38108108108108,5.188026162758377
2018,42.40513513513513,5.29565735171629
2019,49.299189189189185,4.956902806736829
2020,49.717777777777776,4.4283290051415305
2021,50.03111111111111,2.034603267842738
